,,Id,Journal,Year,Volume,page1,page2,Author,Title,type,,,,
,,Agrochem,The Agrochemicals Handbook,1992,1,1,,The Royal Society of Chemistry,The Agrochemicals Handbook Third Edition,Handbook,,,,
,,Andon1954,J. Chem. Soc.,1954,1954,3188,3196,"Andon, R. J. L. ; Cox, J. D. ; Herington, E. F. G.",Phase Relationships in the Pyridine Series.  Part V.  The Thermodynamic Properties of Dilute Solutions of Pyridine Bases in Water at 25 and 40.,Article,,,,
,,Bamford1999,Environ. Toxicol. Chem.,1999,18,1905,1912,"Bamford, H. A. ; Poster, D. L. ; Baker, J. E.",Temperature Dependence of Henry's Law Constants of Thirteen Polycyclic Aromatic Hydrocarbons Between 4oC and 31oC,Article,,,,
,,Butler280,J. Chem. Soc.,1935,1935,280,285,"Butler, J. A. V. ; Ramchandani, C. N. ; Thomson, D. W.",The Solubility of Non-electrolytes.  Part I. The Free Energy of Hydration of Some Aliphatic Alcohols.,Article,,,,
,,Butler952,J. Chem. Soc.,1935,1935,952,955,"Butler, J. A. V. ; Ramchandani, C. N.",The Solubility of Non-electrolytes.  Part II.  The influence of the Polar Group on the Free Energy of Hydration of Aliphatic Compounds.,Article,,,,
,,Buttery1969,J. Agr. Food Chem.,1969,17,385,389,"Buttery, R. G. ; Ling, L. C. ; Guadagni, D. G.","Volatilities of Aldehydes, Ketones, and Esters in Dilute Water Solutions",Article,,,,
,,Buttery1971,J. Agr. Food Chem.,1971,19,1045,1048,"Buttery, R. G. ; Bomben, J. L. ; Guadagni, D. G. ; Ling, L. C.",Some Considerations of the Volatilities of Organic Flavor Compounds in Foods,Article,,,,
,,Cetin2006,Atmos. Environ.,2006,40,4538,4546,"Cetin, B. ; Serder, O. ; Sofuoglu, A. ; Odabasi, M.",Determination of Henry's Law Constants of Organochlorine Pesticides in Deionized and Saline Water as a Function of Temperature,Article,,,,
,,Christie1967,J. Appl. Chem.,1967,17,11,14,"Christie, A. O. ; Crisp, D. J.","Activity Coefficients of the n-Primary, Secondary and Tertiary Aliphatic Amines in Aqueous Solution",Article,,,,
,,Copolovici2005,Chemosphere,2005,61,1390,1400,"Copolovici, L. O. ; Niinemets, U.",Temperature Dependencies of Henry's Law Constants and Octanol/Water partition Coefficients for Key Plant Volatile Monoterpenoids,Article,,,,
,,Diaz2007,Anal. Chim. Acta,2007,589,133,136,"Diaz, A. ; Ventura, F. ; Galceran M. T.",Determination of Henry's Law Constants for Low Volatile Mixed Halogenated Anisoles Using Solid-Pahe Microextraction,Article,,,,
,,Dreisbach15,Advan. Chem. Ser.,1955,15,1,536,"Dreisbach, R. R.",Physical Properties of Chemical Compounds,Review,,,,
,,Dreisbach22,Advan. Chem. Ser.,1955,22,1,491,"Dreisbach, R. R.",Physical Properties of Chemical Compounds - II,Review,,,,
,,Fang2006,Anal. Chem.,2006,78,5412,5418,"Fang, F. ; Chu, S. ; Hong C.",Air-Water Henry's Law Constants for PCB Congeners: Experimental Determination and Modeling of Structure-Property Relationship,Article,,,,
,,Fischer1998,Chemosphere,1998,36,2891,2901,"Fischer, R. G. ; Ballschmiter, K.","Determination of Vapor Pressure, Water Solubility, Gas-Water Partition Coefficient Pgw, Henry's Law Constant, and Octanol-Water Partition Coefficient Pow of 26 Alkyl Dinitrates",Article,,,,
,,Hine1965,J. Amer. Chem. Soc.,1965,87,3387,3396,"Hine, J. ; Weimar, R. D. ",Carbon Basicity,Article,,,,
,,Ji2006,Environ. Toxicol. Chem.,2006,26,231,236,"Ji, C. ; Evans, E. M.",Using an Internal Standard Method to Determine Henry's Law Constants,Article,,,,
,,Kames1992,J. Atmos. Chem.,1992,15,79,95,"Kames. J ; Schurath, U.",Alkyl Nitrates and Bifunctional Nitrates of Atmospheric Interest: Henry's Law Constants and Their Temperature Dependencies,Article,,,,
,,McAuliffe1966,J. Phys. Chem.,1966,70,1267,1275,"McAuliffe, C.","Solubility in Water of Paraffin, Cycloparaffin, ",Article,,,,
,,Odabasi2005,Chemosphere,2006,62,1087,1096,"Odabasi, M. ; Cetin, B. ; Sofuoglu, A.","Henry's Law Constant, Octanol-Air Partition Coefficient and Supercooled Liquid Vapor Pressure of Carbazole as a Function of Temperature: Application to the Gas/Particle Partitioning in the Atmosphere",Article,,,,
,,Parsons1971,J. Chem. Soc. B,1971,1971,533,536,"Parsons, G. H. ; Rochester, C. H. ; Wood, C. E. C.",Effect of 4-substitution on the Thermodynamics of Hydration of Phenol and the Phenoxide Anion,Article,,,,
,,Parsons1972,J. Chem. Soc. Perkin Trans. 2 ,1972,1972,136,138,"Parsons, G. H. ; Rochester, C. H. ; Rostron, A. ; Sykes, P. C.",The Thermodynamics of Hydration of Phenols,Article,,,,
,,Ryu1999,Fluid Phase Equilib.,1999,161,295,304,"Ryu, S. ; Park, S.",A Rapid Determination Method of the Air/Water Partition Coefficient and its Application,Article,,,,
,,Shepson1996,Environ. Sci. Technol.,1996,30,3618,3623,"Shepson, P. B. ; Mackay E. ; Muthuramu, K.",Henry's Law Constants and Removal Processes for Several Atmospheric B-Hydroxy Alkyl Nitrates,Article,,,,
,,Suntio1988,Reviews of Environmental Contamination and Toxicology,1988,103,1,60,"Suntio, L. R. ; Shiu, W. Y ; Mackay, D. ; Seiber, J. N. ; Glotfelty, D.",Critical Review of Henry's Law Constants for Pesticides,Review,,,,
,,Ware123,Reviews of Environmental Contamination and Toxicology,1992,123,1,164,"Ware, G. W.",Reviews of Environmental Contamination and Toxicology,Review,,,,
,,Ying2004,J. Chem. Eng. Data,2004,49,1013,1022,"Lei, Y. D. ; Wania, F. ; Mathers, D. ; Mabury, S. A.","Determination of Vapour Pressures, Octanol-Air, and Water-Air Partition Coefficients for Polyfluorinated Sulfonamide, Sulfonamidoethanols, and Telomer Alcohols",Article,,,,
"Papers which have no obviously useful data, from Binders B-M2",,,,,,,,,,,,,,
No Obviously Useful Data,,"<Barontini, 2007>","[Barontini, 2007 #138]","Barontini, F.; Cozzani, V., Journal of Thermal Analysis and Calorimetry 2007, 89, 309-314.",,,,,,,,,,
No Obviously Useful Data,,"<Beynon, 1956>","[Beynon, 1956 #193]","Beynon, J. H.; Nicholson, G. R., Journal of Scientific Instruments 1956, 33, 376-380.",,,,,,,,,,
No Obviously Useful Data,,"[Brisset, 1985 #152]","[Brisset, 1985 #152]","Brisset, J., J. Chem. Eng. Data 1985, 30, 381-383.",,,,,,,,,,
No Obviously Useful Data,,"<Chickos, 1993>","[Chickos, 1993 #171]","Chickos, J. S.; Hosseini, S., J. Org. Chem. 1993, 58, 5345-5350.",,,,,,,,,,
No Obviously Useful Data,,"<Chickos, 2002>","[Chickos, 2002 #173]","Chickos, J. S.; Nichols, G., JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES 2002, 42, 368-374.",,,,,,,,,,
No Obviously Useful Data,,"<Chickos, 1998>","[Chickos, 1998 #174]","Chickos, J. S., THERMOCHIMICA ACTA 1998, 313, 19-26.",,,,,,,,,,
No Obviously Useful Data,,"<Coutsikos, 2003>","[Coutsikos, 2003 #184]","Coutsikos, P.; Voutsas, E.; Magoulas, K.; Tassios, D. P., Fl. Phase Eq. 2003, 207, 263-281.",,,,,,,,,,
No Obviously Useful Data,,"<Cramer, 2006>","[Cramer, 2006 #207]","Cramer, C. J.; Kelly, C. P.; Truhlar, D. G., Journal of Physical Chemistry 2006, 110, 16066-16081.",,,,,,,,,,
No Obviously Useful Data,,"<Cramer, 1999a>","[Cramer, 1999 #209]","Cramer, C. J.; Truhlar, D. G., Chemical Reviews 1999, 99, 2161-2200.",,,,,,,,,,
No Obviously Useful Data,,"<Cramer, 2005>","[Cramer, 2005 #210]","Cramer, C. J.; Kelly, C. P.; Truhlar, D. G., Journal of Chemical Theory and Computation 2005, 1, 1133-1152.",,,,,,,,,,
,,,,,,,,,,,,,,
No Obviously Useful Data,,"<de Barros, 2006>",,"de Barros, A. L. F.; Medina, A.; Zappa, F.; Pereira, J. M.; Bessa, E.; Martins, M. H. P.; Coelho, L. F. S.; Wolff, W.; de Castro Faria, N. V., Nuclear Instruments and Methods in Physics Research A 2006, 560, 219-223.",,,,,,,,,,
No Obviously Useful Data,,"<de Bruyn, 1994>",,"de Bruyn, W. J.; Shorter, J. A.; Davidovits, P.; Worsnop, D. R.; Zahniser, M. S.; Kolb, C. E., Journal of Geophysical Research 1994, 99, 16927-16932.",,,,,,,,,,
No Obviously Useful Data,,"<Eckert, 1996>",,,,,,,,,,,,
No Obviously Useful Data,,"<Falabella, 2007>",,,,,,,,,,,,
No Obviously Useful Data,,"<Falabella, 2006a>",,,,,,,,,,,,
No Obviously Useful Data,,"<Glotfelty, 1990>",,,,,,,,,,,,
No Obviously Useful Data,,"<Hadjoudj, 2004>",,,,,,,,,,,,
No Obviously Useful Data,,"<Herrington, 1982>",,,,,,,,,,,,
Check Supporting Info?,,"<Katritzky, 2003>",,,,,,,,,,,,
Check Supporting Info?,,"<Kuhne, 2005>",,,,,,,,,,,,
No Obviously Useful Data,,"<Lerol, 1977>","[Lerol, 1977 #275]","Lerol, J.; Masson, J.; Renon, H.; Fabries, J.; Sannier, H., Industrial and Engineering Chemistry Process Design and Development 1977, 16, 139-144.",,,,,,,,,,
No Obviously Useful Data,,"<Loev, 1957>","[Loev, 1957 #282]","Loev, B.; Massengale, J. T., J. Org. Chem. 1957, 22, 1186-1189.",,,,,,,,,,
No Obviously Useful Data,,"<Maassen, 1993>","[Maaben, 1993 #287]","Maassen, A.; Reichl, A.; Knapp, H., Fl. Phase Eq. 1993, 82, 71-78.",,,,,,,,,,
No Obviously Useful Data,,"<Maassen, 1996>","[Maaben, 1996 #289]","Maassen, A.; Knapp, H.; Artl, W., Fl. Phase Eq. 1996, 116, 354-360.",,,,,,,,,,
No Obviously Useful Data,,"<Mackay, 2000c>",,,,,,,,,,,,
No Obviously Useful Data,,"<Mackay, 2000d>","[Mackay, 2000 #297]","Mackay, D.; Shiu, W. Y.; Ma, K. C., Handbook of Property Estimation Methods for Chemicals 2000, 4, 69-87.",,,,,,,,,,
No Obviously Useful Data,,"<Meighan, 1964>","[Meighan, 1964 #318]","Meighan, R. M.; Cole, R. H., Journal of Physical Chemistry 1964, 68, 503-508.",,,,,,,,,,
No Obviously Useful Data,,"<Meylan, 2005>","[Meylan, 2005 #319]","Meylan, W. M.; Howard, P. H., Chemosphere 2005, 61, 640-644.",,,,,,,,,,
No Obviously Useful Data,,"<Miklavc, 1999>","[Miklavc, 1999 #320]","Miklavc, A., Chem. Phys. Let. 1999, 307, 211-214.",,,,,,,,,,
No Obviously Useful Data,,"<Miklavc, 1998>","[Miklavc, 1998 #335]","Miklavc, A., Journal of Chemical Information and Computer Sciences, 38, 269-270 1998, 38, 269-270.",,,,,,,,,,
No Obviously Useful Data,,"<Mobley, 2008>","[Mobley, 2008 #336]","Mobley, D. L.; Dill, K. A.; Chodera, J. D., J. Phys. Chem. B 2008, 112, 938-946.",,,,,,,,,,
